# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
# Cp has been shifted by -0.015 to better match experimental reference upstream
#VARIABLES = "x","cp"
#zone, t="CFL3D"
x,cp
 6.263435483E-01, -6.701231599E-01
 6.280496120E-01, -6.623864770E-01
 6.297190189E-01, -6.541967988E-01
 6.313524246E-01, -6.455302835E-01
 6.329504848E-01, -6.366253495E-01
 6.345138550E-01, -6.275773644E-01
 6.360431314E-01, -6.182790399E-01
 6.375389695E-01, -6.088257432E-01
 6.390020847E-01, -5.991817117E-01
 6.404330730E-01, -5.896330476E-01
 6.418324709E-01, -5.798698068E-01
 6.432008147E-01, -5.702615380E-01
 6.445382237E-01, -5.607724786E-01
 6.458451152E-01, -5.507946610E-01
 6.471215487E-01, -5.402565598E-01
 6.483679414E-01, -5.292535424E-01
 6.495844126E-01, -5.179882646E-01
 6.507712603E-01, -5.060911775E-01
 6.519286633E-01, -4.950166345E-01
 6.530569196E-01, -4.800677896E-01
 6.541569829E-01, -4.734159112E-01
 6.552426219E-01, -4.652858377E-01
 6.563252211E-01, -4.513979554E-01
 6.574048400E-01, -4.404783845E-01
 6.584813595E-01, -4.353523850E-01
 6.595475674E-01, -4.319906831E-01
 6.606068015E-01, -4.239082932E-01
 6.616584063E-01, -4.199505448E-01
 6.627017856E-01, -4.158497453E-01
 6.637362242E-01, -4.126906991E-01
 6.647611856E-01, -4.100084901E-01
 6.657756567E-01, -4.080176950E-01
 6.667792201E-01, -4.063130021E-01
 6.677718759E-01, -4.049659371E-01
 6.687542796E-01, -4.037976861E-01
 6.697271466E-01, -4.029751420E-01
 6.706909537E-01, -4.023552537E-01
 6.716465354E-01, -4.018903375E-01
 6.725944877E-01, -4.015803933E-01
 6.735351682E-01, -4.014015794E-01
 6.744686961E-01, -4.012585282E-01
 6.753956079E-01, -4.011631608E-01
 6.763161421E-01, -4.010797143E-01
 6.772308946E-01, -4.010439515E-01
 6.781398654E-01, -4.010320306E-01
 6.790437698E-01, -4.009962678E-01
 6.799428463E-01, -4.010081887E-01
 6.808373332E-01, -4.010201097E-01
 6.817275882E-01, -4.010201097E-01
 6.826142073E-01, -4.010320306E-01
 6.834974885E-01, -4.010439515E-01
 6.843776703E-01, -4.010439515E-01
 6.852552295E-01, -4.010558724E-01
 6.861305237E-01, -4.010558724E-01
 6.870038509E-01, -4.010677934E-01
 6.878758669E-01, -4.010797143E-01
 6.887465715E-01, -4.010916352E-01
