# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
#VARIABLES = "x/c","y/c","u'v'/(Uref^2)"
x,y,uv,u
 -2.140000105E+00, 3.250320256E-01, -2.642516848E-12,  9.964858890E-01
 -2.140000105E+00, 3.263164163E-01, -2.624332392E-12,  9.964864254E-01
 -2.140000105E+00, 3.276008368E-01, -2.606147503E-12,  9.964869022E-01
 -2.140000105E+00, 3.288852274E-01, -2.587963914E-12,  9.964873195E-01
 -2.140000105E+00, 3.301696479E-01, -2.569779025E-12,  9.964877963E-01
 -2.140000105E+00, 3.314540386E-01, -2.551594352E-12,  9.964882731E-01
 -2.140000105E+00, 3.327384591E-01, -2.533409463E-12,  9.964886904E-01
 -2.140000105E+00, 3.340228498E-01, -2.515225007E-12,  9.964891672E-01
 -2.140000105E+00, 3.353072703E-01, -2.497262163E-12,  9.964895844E-01
 -2.140000105E+00, 3.365916610E-01, -2.480397398E-12,  9.964900613E-01
 -2.140000105E+00, 3.378760815E-01, -2.463531983E-12,  9.964904785E-01
 -2.140000105E+00, 3.391605020E-01, -2.446666784E-12,  9.964909554E-01
 -2.140000105E+00, 3.404448926E-01, -2.429801802E-12,  9.964914322E-01
 -2.140000105E+00, 3.417293131E-01, -2.412936604E-12,  9.964918494E-01
 -2.140000105E+00, 3.430137038E-01, -2.396072490E-12,  9.964922667E-01
 -2.140000105E+00, 3.442981243E-01, -2.379207074E-12,  9.964926839E-01
 -2.140000105E+00, 3.455825150E-01, -2.362342310E-12,  9.964931011E-01
 -2.140000105E+00, 3.468669355E-01, -2.345476894E-12,  9.964935184E-01
 -2.140000105E+00, 3.481513262E-01, -2.328611913E-12,  9.964939356E-01
 -2.140000105E+00, 3.494357467E-01, -2.311746714E-12,  9.964943528E-01
 -2.140000105E+00, 3.507201374E-01, -2.295965067E-12,  9.964947701E-01
 -2.140000105E+00, 3.520045578E-01, -2.280377926E-12,  9.964951873E-01
 -2.140000105E+00, 3.532889485E-01, -2.264791002E-12,  9.964956045E-01
 -2.140000105E+00, 3.545733690E-01, -2.249203861E-12,  9.964960217E-01
 -2.140000105E+00, 3.558577597E-01, -2.233617154E-12,  9.964964390E-01
 -2.140000105E+00, 3.571421802E-01, -2.218029796E-12,  9.964967966E-01
 -2.140000105E+00, 3.584266007E-01, -2.202443306E-12,  9.964972138E-01
 -2.140000105E+00, 3.597109914E-01, -2.186856382E-12,  9.964975715E-01
 -2.140000105E+00, 3.609954119E-01, -2.171269241E-12,  9.964979887E-01
 -2.140000105E+00, 3.622798026E-01, -2.155682534E-12,  9.964983463E-01
 -2.140000105E+00, 3.635642231E-01, -2.140095176E-12,  9.964987040E-01
 -2.140000105E+00, 3.648486137E-01, -2.124552270E-12,  9.964991212E-01
 -2.140000105E+00, 3.661330342E-01, -2.110198518E-12,  9.964994788E-01
 -2.140000105E+00, 3.674174249E-01, -2.095844982E-12,  9.964998364E-01
 -2.140000105E+00, 3.687018454E-01, -2.081491229E-12,  9.965002537E-01
 -2.140000105E+00, 3.699862361E-01, -2.067137694E-12,  9.965006113E-01
 -2.140000105E+00, 3.712706566E-01, -2.052783941E-12,  9.965010285E-01
 -2.140000105E+00, 3.725550473E-01, -2.038430405E-12,  9.965013862E-01
 -2.140000105E+00, 3.738394678E-01, -2.024076870E-12,  9.965017438E-01
 -2.140000105E+00, 3.751238585E-01, -2.009723334E-12,  9.965021014E-01
 -2.140000105E+00, 3.764082789E-01, -1.995369581E-12,  9.965024590E-01
 -2.140000105E+00, 3.776926994E-01, -1.981015829E-12,  9.965028167E-01
 -2.140000105E+00, 3.789770901E-01, -1.966662293E-12,  9.965031147E-01
 -2.140000105E+00, 3.802615106E-01, -1.952308541E-12,  9.965034723E-01
 -2.140000105E+00, 3.815459013E-01, -1.938797647E-12,  9.965038300E-01
 -2.140000105E+00, 3.828303218E-01, -1.925628927E-12,  9.965041876E-01
 -2.140000105E+00, 3.841147125E-01, -1.912460641E-12,  9.965045452E-01
 6.499999762E-01, 1.161499992E-01, -1.398322777E-11,  2.626694972E-03 
 6.499999762E-01, 1.161757037E-01, -2.992071657E-08,  1.597808674E-02 
 6.499999762E-01, 1.161819994E-01, -7.943209113E-08,  1.963023469E-02 
 6.499999762E-01, 1.161884964E-01, -1.874571893E-07,  2.357694134E-02 
 6.499999762E-01, 1.161950976E-01, -4.200016974E-07,  2.779276855E-02 
 6.499999762E-01, 1.162016988E-01, -8.569220995E-07,  3.219708428E-02 
 6.499999762E-01, 1.162085012E-01, -1.648814191E-06,  3.691165894E-02 
 6.499999762E-01, 1.162153035E-01, -2.963417501E-06,  4.181515053E-02 
 6.499999762E-01, 1.162222996E-01, -5.090811555E-06,  4.704450443E-02 
 6.499999762E-01, 1.162293032E-01, -8.312692444E-06,  5.247064680E-02 
 6.499999762E-01, 1.162365004E-01, -1.313272060E-05,  5.822661519E-02 
 6.499999762E-01, 1.162438020E-01, -2.002880501E-05,  6.423906237E-02 
 6.499999762E-01, 1.162512973E-01, -2.968841000E-05,  7.056184858E-02 
 6.499999762E-01, 1.162588969E-01, -4.266123142E-05,  7.707895339E-02 
 6.499999762E-01, 1.162666976E-01, -5.965147648E-05,  8.389302343E-02 
 6.499999762E-01, 1.162746996E-01, -8.131325012E-05,  9.097717702E-02 
 6.499999762E-01, 1.162827983E-01, -1.083290554E-04,  9.822551906E-02 
 6.499999762E-01, 1.162912026E-01, -1.414499857E-04,  1.057931259E-01 
 6.499999762E-01, 1.162997037E-01, -1.799736638E-04,  1.134328321E-01 
 6.499999762E-01, 1.163085029E-01, -2.241884795E-04,  1.212678477E-01 
 6.499999762E-01, 1.163175032E-01, -2.730434062E-04,  1.291762888E-01 
 6.499999762E-01, 1.163268983E-01, -3.269402368E-04,  1.372664273E-01 
 6.499999762E-01, 1.163363978E-01, -3.834173258E-04,  1.452492923E-01 
 6.499999762E-01, 1.163462996E-01, -4.432403075E-04,  1.533444524E-01 
 6.499999762E-01, 1.163564995E-01, -5.049235187E-04,  1.614178866E-01 
 6.499999762E-01, 1.163669974E-01, -5.676977453E-04,  1.694443226E-01 
 6.499999762E-01, 1.163778976E-01, -6.313699996E-04,  1.774934530E-01 
 6.499999762E-01, 1.163891032E-01, -6.947190850E-04,  1.854705065E-01 
 6.499999762E-01, 1.164008006E-01, -7.583355764E-04,  1.934961528E-01 
 6.499999762E-01, 1.164128035E-01, -8.208825602E-04,  2.014137954E-01 
 6.499999762E-01, 1.164252982E-01, -8.829538710E-04,  2.093284875E-01 
 6.499999762E-01, 1.164382026E-01, -9.439165005E-04,  2.171892226E-01 
 6.499999762E-01, 1.164515987E-01, -1.003946061E-03,  2.250080258E-01 
 6.499999762E-01, 1.164655015E-01, -1.062884228E-03,  2.327922881E-01 
 6.499999762E-01, 1.164799035E-01, -1.120600500E-03,  2.405340225E-01 
