# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
#VARIABLES = "x","cf"
#zone, t="CFL3D"
x,cf
  0.955944180E+00, -0.138919475E-02
  0.957129359E+00, -0.139604625E-02
  0.958314955E+00, -0.140349823E-02
  0.959500909E+00, -0.141162775E-02
  0.960687160E+00, -0.142113585E-02
  0.961873829E+00, -0.143091555E-02
  0.963060856E+00, -0.144127000E-02
  0.964248240E+00, -0.145399454E-02
  0.965435982E+00, -0.146656146E-02
  0.966624022E+00, -0.147842302E-02
  0.967812419E+00, -0.149160333E-02
  0.969001174E+00, -0.150390645E-02
  0.970190287E+00, -0.151412061E-02
  0.971379697E+00, -0.152359111E-02
  0.972569466E+00, -0.153230049E-02
  0.973759592E+00, -0.153969985E-02
  0.974950075E+00, -0.154634786E-02
  0.976140916E+00, -0.155274081E-02
  0.977332056E+00, -0.155844039E-02
  0.978523612E+00, -0.156382320E-02
  0.979715466E+00, -0.157017086E-02
  0.980907738E+00, -0.157696020E-02
  0.982100308E+00, -0.158363965E-02
  0.983293235E+00, -0.159147405E-02
  0.984486580E+00, -0.159965747E-02
  0.985680223E+00, -0.160732644E-02
  0.986874223E+00, -0.161572045E-02
  0.988068581E+00, -0.162333832E-02
  0.989263296E+00, -0.162733544E-02
  0.990458369E+00, -0.163003791E-02
  0.991653800E+00, -0.163046492E-02
  0.992849588E+00, -0.162494148E-02
  0.994045734E+00, -0.161798799E-02
  0.995242298E+00, -0.161013752E-02
  0.996439219E+00, -0.159947178E-02
  0.997636557E+00, -0.159156194E-02
  0.998834252E+00, -0.158712489E-02
  0.100003242E+01, -0.158963585E-02
  0.100123107E+01, -0.160146598E-02
  0.100243020E+01, -0.161220343E-02
  0.100363064E+01, -0.161955354E-02
  0.100483286E+01, -0.162650330E-02
  0.100603735E+01, -0.163249508E-02
  0.100724494E+01, -0.163770770E-02
  0.100845599E+01, -0.164210727E-02
  0.100967121E+01, -0.164580683E-02
  0.101089132E+01, -0.164891907E-02
  0.101211667E+01, -0.165156461E-02
  0.101334798E+01, -0.165384135E-02
  0.101458597E+01, -0.165582169E-02
  0.101583099E+01, -0.165755302E-02
  0.101708400E+01, -0.165906339E-02
  0.101834536E+01, -0.166036817E-02
  0.101961565E+01, -0.166147505E-02
  0.102089572E+01, -0.166238809E-02
  0.102218616E+01, -0.166310929E-02
  0.102348745E+01, -0.166363968E-02
  0.102480042E+01, -0.166398019E-02
  0.102612555E+01, -0.166413095E-02
  0.102746356E+01, -0.166409148E-02
  0.102881515E+01, -0.166386075E-02
  0.103018093E+01, -0.166343665E-02
  0.103156161E+01, -0.166281685E-02
  0.103295791E+01, -0.166199799E-02
  0.103437042E+01, -0.166097598E-02
  0.103579998E+01, -0.165974651E-02
  0.103724718E+01, -0.165830448E-02
  0.103871274E+01, -0.165664428E-02
  0.104019737E+01, -0.165475998E-02
  0.104170191E+01, -0.165264495E-02
  0.104322696E+01, -0.165029231E-02
  0.104477346E+01, -0.164769462E-02
  0.104634202E+01, -0.164484384E-02
  0.104793334E+01, -0.164173183E-02
  0.104954851E+01, -0.163834961E-02
  0.105118799E+01, -0.163468800E-02
  0.105285287E+01, -0.163073733E-02
  0.105454373E+01, -0.162648736E-02
  0.105626166E+01, -0.162192760E-02
  0.105800724E+01, -0.161704677E-02
  0.105978155E+01, -0.161183334E-02
  0.106158531E+01, -0.160627509E-02
  0.106341946E+01, -0.160035922E-02
  0.106528509E+01, -0.159407221E-02
  0.106718278E+01, -0.158739963E-02
  0.106911373E+01, -0.158032589E-02
  0.107107878E+01, -0.157283549E-02
  0.107307887E+01, -0.156491145E-02
  0.107511520E+01, -0.155654212E-02
  0.107718849E+01, -0.154771737E-02
  0.107929993E+01, -0.153843977E-02
  0.108145058E+01, -0.152869534E-02
  0.108364141E+01, -0.151838909E-02
  0.108587360E+01, -0.150745141E-02
  0.108814812E+01, -0.149588380E-02
  0.109046614E+01, -0.148368627E-02
  0.109282899E+01, -0.147086789E-02
  0.109523761E+01, -0.145741680E-02
  0.109769320E+01, -0.144331343E-02
  0.110019708E+01, -0.142855220E-02
  0.110275042E+01, -0.141311018E-02
  0.110535455E+01, -0.139696931E-02
  0.110801077E+01, -0.138011610E-02
  0.111072028E+01, -0.136252970E-02
  0.111348438E+01, -0.134419301E-02
  0.111630464E+01, -0.132508774E-02
  0.111918235E+01, -0.130519399E-02
  0.112211895E+01, -0.128449872E-02
  0.112511575E+01, -0.126298447E-02
  0.112817442E+01, -0.124063238E-02
  0.113129640E+01, -0.121742592E-02
  0.113448322E+01, -0.119335996E-02
  0.113773644E+01, -0.116842519E-02
  0.114105761E+01, -0.114264758E-02
  0.114444864E+01, -0.111608161E-02
  0.114791083E+01, -0.108859455E-02
  0.115144622E+01, -0.106001936E-02
